listing_id,district,price_pen,maintenance_fee,area_total,bedrooms,bathrooms,parking_spaces,address,urbanization,photos_count
142802045,barranco,529050.0,0.0,49.0,1,2,1,Avenida San Martin,San Ignacio,1
149612578,barranco,566000.0,350.0,56.0,2,2,1,Pedro de Osma,Barranco,1
4000171,barranco,774900.0,0.0,80.0,2,2,1,jiron pedro martinto  cra.1,Barranco,1
149902915,barranco,578000.0,230.0,56.0,2,2,1,Pasaje Fidelli 101,Barranco,1
146995730,barranco,6195000.0,3169.0,632.0,4,4,4,Bresciani,Barranco,1
142654681,barranco,832500.0,500.0,120.0,2,2,1,Calle Perez Roca,Barranco,1
149358449,barranco,638250.0,400.0,103.0,3,2,1,Jirón Tumbes 309,Barranco,1
4272050,barranco,2000000.0,900.0,210.0,2,3,2,Acantilado de Barranco,Barranco,1
149841886,barranco,1851365.0,811.0,207.0,3,3,2,Malecón Paúl Harris 358,San Ignacio,1
146150621,barranco,1200000.0,600.0,162.0,3,2,2,"CALLE DELUCCHI 015, BARRANCO",Barranco,1
146467967,barranco,458500.0,150.0,42.0,1,1,1,Jr. las mimosas,Barranco,1
149609319,barranco,547000.0,0.0,129.0,3,1,0,Jr. Independencia  al 248,Barranco,1
149154832,barranco,449000.0,0.0,41.0,1,1,0,Bustamante 195 Barranco,Barranco,1
149319130,barranco,362250.0,250.0,70.0,3,2,1,Avenida República de Panamá 348,Barranco,1
149654882,barranco,678000.0,250.0,67.0,2,2,1,Avenida San Martín 625,Barranco,10
147578730,barranco,565750.0,325.0,59.0,1,1,1,av. Pedro de osma,Barranco,9
149642136,barranco,582000.0,200.0,36.0,1,1,0,Jr. Carlos Arrieta 190,Barranco,10
149159632,barranco,414000.0,280.0,40.0,1,1,0,Av. San Martin esq Av. El Sol Oeste,Barranco,1
149606248,barranco,554400.0,350.0,40.0,1,1,1,El Sol Oeste,Barranco,1
149735387,barranco,1330000.0,300.0,93.0,2,2,1,Jr. Las Mimosas 131,Barranco,1
143492305,barranco,665000.0,270.0,64.0,2,2,0,"Av, el Sol",Tejada Alta,1
149152009,barranco,745000.0,400.0,95.0,2,3,1,Jirón Medrano Silva,Barranco,1
13366738,barranco,998000.0,0.0,182.0,3,3,2,parque golzales prada,Barranco,1
148464657,barranco,1006600.0,0.0,120.0,2,2,0,Duplex de Lujo,Barranco,1
149297338,barranco,870000.0,580.0,124.0,3,3,1,AV. EL SOL ESTE 2XX DPTO 5,Barranco,1
149320883,barranco,586500.0,300.0,57.0,1,1,1,Jirón Juan Fanning,Barranco,1
149841644,barranco,983250.0,495.0,82.0,2,2,1,a una cuadra del malecon Paul Harris,Barranco,1
145676971,barranco,684657.0,350.0,83.0,2,2,0,JIRON 2 DE MAYO,Barranco,1
148992069,barranco,1043000.0,850.0,110.0,2,2,1,Jr .Batalla De Junín N°201,Venegas,1
149862204,barranco,465000.0,0.0,46.0,1,1,1,Centenario,Barranco,1
148451300,barranco,279650.0,180.0,46.0,1,1,0,Av Republica de Panama 350,Barranco,1
148596304,barranco,3538500.0,1400.0,350.0,4,4,3,Dirección no informada,Barranco,1
149907099,barranco,379000.0,250.0,63.0,3,2,0,Aurelio Souza 447,Barranco,1
148902578,barranco,904500.0,450.0,100.0,3,2,2,Avenida San Martín 345,Barranco,1
149441929,barranco,741750.0,0.0,95.0,3,2,1,Avenida Almirante Miguel Grau 1438,Barranco,1
149416522,barranco,897000.0,580.0,93.0,2,2,1,Jirón Tacna,Barranco,1
146785792,barranco,610000.0,340.0,111.0,2,1,1,Jr. Perez Roca 150,Barranco,1
149536494,barranco,476000.0,200.0,45.0,1,1,1,Miguel Grau 1430,Barranco,1
149013349,barranco,686100.0,0.0,74.0,3,2,0,Flat de Lujo,Barranco,1
146252367,barranco,1128500.0,500.0,157.0,2,3,0,Dulanto,Barranco,1
147879979,barranco,287000.0,172.0,45.0,1,1,1,AV. REPUBLICA DE PANAMA 348,Barranco,1
148742020,barranco,2031120.0,300.0,243.0,4,4,1,Parque Gonzáles Prada 179,Barranco,1
149560661,barranco,479500.0,0.0,50.0,1,1,0,Av Sol Oeste 145,Barranco,1
145930043,barranco,933612.0,0.0,125.0,3,2,0,Jr. 2 de Mayo 155 Barranco,Barranco,1
149008941,barranco,442000.0,250.0,52.0,1,1,1,Av. el Sol Este 428,Barranco,10
148940942,barranco,1028000.0,480.0,110.0,3,2,1,Jirón Juan Fanning 109 esuina Av Grau,Barranco,10
149640107,barranco,447160.0,0.0,51.0,1,1,0,Malecón Paúl Harris,Barranco,10
59531299,barranco,465800.0,180.0,37.0,1,1,0,Av Sol Oeste Cuadra 4,Confraternidad,1
148724891,barranco,499000.0,0.0,51.0,2,1,1,Jirón Pedro Martinto,Barranco,1
148449321,barranco,532650.0,430.0,62.0,2,2,1,Jirón Teodosio Parreño 260,Barranco,1
149866499,barranco,700000.0,0.0,87.0,1,1,1,Jirón Centenario 129,Barranco,1
147618095,barranco,821500.0,0.0,95.0,2,2,1,Límite Barranco y Miraflores,Barranco,1
145086881,barranco,5192500.0,0.0,560.0,3,4,3,MALECON PAUL HARRIS 2,Barranco,1
149874522,barranco,410000.0,169.0,38.0,1,1,0,Avenida Grau 1438 Barranco,Barranco,1
149814482,barranco,4488000.0,0.0,405.0,4,4,3,"Malecón Castilla N 1xx, Piso 4, Barranco.",Barranco,1
146565729,barranco,581370.0,0.0,57.0,2,2,0,Av. Almirante Miguel Grau,Barranco,1
149290898,barranco,424732.0,0.0,40.0,1,1,0,Avenida San Martín,Barranco,1
149364944,barranco,969000.0,0.0,112.0,2,2,1,"Calle Juan Fanning N Xxx, Piso 2, Barranco.",Barranco,1
148422860,barranco,461984.0,0.0,41.0,1,1,0,"Av Grau N° 10xx, Dpto. 303 AL 1303",Barranco,1
148736408,barranco,760450.0,0.0,127.0,2,2,2,"Jirón 2 de Mayo N 1, Piso 1, Barranco",Barranco,1
149481641,barranco,672600.0,0.0,72.0,3,2,0,Barranco al 400,Barranco,1
148117866,barranco,378000.0,0.0,40.0,1,2,0,mimosas barranco,Barranco,1
146565534,barranco,489221.0,0.0,54.0,2,2,0,Av. Almirante Miguel Grau 1020,Barranco,1
146268281,barranco,720720.0,400.0,95.0,2,2,1,Psj. Rospigliosi,Barranco,1
149245842,barranco,697000.0,0.0,59.0,1,1,1,"Jirón Pedro Solar N 1, Piso 2, Barranco",Barranco,1
148214205,barranco,1008651.0,0.0,127.0,2,2,0,Jr. 2 de Mayo,Tejadita,1
149874540,barranco,1184102.0,0.0,124.0,3,3,0,"Jirón 2 de Mayo 150, Barranco",Barranco,1
149815564,barranco,4101080.0,0.0,342.0,3,3,2,"Malecón Castilla N 1xx, Piso 9, Barranco.",Barranco,1
149874694,barranco,499770.0,300.0,59.0,2,2,1,Av. El Sol 550,Barranco,1
