listing_id,listing_url,scraping_date,district_scraped,source,price_pen,price_usd,maintenance_fee,area_total,bedrooms,bathrooms,parking_spaces,address,urbanization,district,photos_count,json_name
148379168,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-el-polo-santiago-de-surco-5-a-mas-dormitorios-148379168?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=10&n_pos=5,2026-05-18,santiago-de-surco,urbania,938000.0,280000.0,,228,5.0,3.0,1.0,AV PRIMAVERA CALLE PUCALA,El Polo,Santiago de Surco,1,Departamento · 228m² · 5 Dormitorios · 1 Estacionamiento
149590491,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-golf-los-incas-santiago-de-surco-4-dormitorios-149590491?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=10&n_pos=6,2026-05-18,santiago-de-surco,urbania,2940000.0,840000.0,1500.0,525,4.0,7.0,4.0,Av. Circunvalación Golf los Incas 1047,Golf Los Incas,Santiago de Surco,1,Departamento · 525m² · 4 Dormitorios · 4 Estacionamientos
148499889,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-santiago-de-surco-lima-3-dormitorios-148499889?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=10&n_pos=8,2026-05-18,santiago-de-surco,urbania,1350000.0,,,255,3.0,2.0,2.0,"Av. El Derby, Surco",Santiago de Surco,Lima,1,Departamento · 257m² · 3 Dormitorios · 2 Estacionamientos
149753690,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-valle-hermoso-santiago-de-surco-3-dormitorios-149753690?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=10&n_pos=9,2026-05-18,santiago-de-surco,urbania,1216250.0,350000.0,,240,3.0,4.0,2.0,Av de los Ingenieros 234,Valle Hermoso,Santiago de Surco,1,Departamento · 240m² · 3 Dormitorios · 2 Estacionamientos
147353965,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-santiago-de-surco-lima-3-dormitorios-147353965?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=10&n_pos=10,2026-05-18,santiago-de-surco,urbania,997500.0,285000.0,600.0,145,3.0,2.0,2.0,Dirección no informada,Santiago de Surco,Lima,1,Departamento · 145m² · 3 Dormitorios · 2 Estacionamientos
147661912,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-chacarilla-del-estanque-santiago-de-surco-3-dormitorios-147661912?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=10&n_pos=12,2026-05-18,santiago-de-surco,urbania,1479000.0,435000.0,750.0,182,3.0,4.0,2.0,JIRON MONTE CARMELO SURCO,Chacarilla Del Estanque,Santiago de Surco,1,Departamento · 242m² · 3 Dormitorios · 2 Estacionamientos
148983570,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-chacarilla-del-estanque-santiago-de-surco-3-dormitorios-148983570?n_src=Listado&n_pills=Cuartos+de+servicio&n_pg=10&n_pos=13,2026-05-18,santiago-de-surco,urbania,1498000.0,428000.0,800.0,326,3.0,4.0,2.0,Avenida de la Floresta,Chacarilla Del Estanque,Santiago de Surco,1,Departamento · 326m² · 3 Dormitorios · 2 Estacionamientos
148013486,https://urbania.pe/inmueble/clasificado/veclappa-venta-de-departamento-en-valle-hermoso-santiago-de-surco-3-dormitorios-148013486?n_src=Listado&n_pills=Frente+a+parque&n_pg=10&n_pos=14,2026-05-18,santiago-de-surco,urbania,991200.0,295000.0,,157,3.0,3.0,2.0,Av. Primavera & Jirón Jerónimo de Aliaga Sur,Valle Hermoso,Santiago de Surco,1,Departamento · 157m² · 3 Dormitorios · 2 Estacionamientos
148995907,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-santiago-de-surco-lima-3-dormitorios-148995907?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=10&n_pos=16,2026-05-18,santiago-de-surco,urbania,822500.0,235000.0,350.0,189,3.0,2.0,1.0,Castilla la Vieja 7,Santiago de Surco,Lima,1,Departamento · 189m² · 3 Dormitorios · 1 Estacionamiento
149207570,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-chama-santiago-de-surco-3-dormitorios-149207570?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=10&n_pos=17,2026-05-18,santiago-de-surco,urbania,737800.0,217000.0,400.0,117,3.0,3.0,1.0,Avenida Alfredo Franco,Chama,Santiago de Surco,1,Departamento · 117m² · 3 Dormitorios · 1 Estacionamiento
